epoch,step,train_loss
0,99,-2.0176498889923096
1,199,-2.3102643489837646
2,299,-2.4720096588134766
3,399,-2.628504991531372
4,499,-2.7656679153442383
5,599,-2.8438479900360107
6,699,-2.8803093433380127
7,799,-2.8836803436279297
8,899,-2.9154305458068848
9,999,-2.903266668319702
10,1099,-2.919780969619751
11,1199,-2.93351674079895
12,1299,-2.922821283340454
13,1399,-2.937986135482788
14,1499,-2.9484500885009766
15,1599,-2.9251909255981445
16,1699,-2.9456255435943604
17,1799,-2.9469568729400635
18,1899,-2.9399237632751465
19,1999,-2.940458297729492
20,2099,-2.9425301551818848
21,2199,-2.9405438899993896
22,2299,-2.9369213581085205
23,2399,-2.9317071437835693
24,2499,-2.9620249271392822
25,2599,-2.939865827560425
26,2699,-2.9569199085235596
27,2799,-2.9534966945648193
28,2899,-2.9513213634490967
29,2999,-2.9604220390319824
30,3099,-2.967578411102295
31,3199,-2.954136848449707
32,3299,-2.9429373741149902
33,3399,-2.9500491619110107
34,3499,-2.95283842086792
35,3599,-2.956071138381958
36,3699,-2.9638216495513916
37,3799,-2.968395948410034
38,3899,-2.948054790496826
39,3999,-2.9544734954833984
40,4099,-2.956435441970825
41,4199,-2.9687881469726562
42,4299,-2.964858055114746
43,4399,-2.969660997390747
44,4499,-2.9713966846466064
45,4599,-2.9592044353485107
46,4699,-2.9582860469818115
47,4799,-2.9531784057617188
48,4899,-2.970125436782837
49,4999,-2.96462345123291
